,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
14,"frozenset({'BROIu_B', 'RA', 'TmaxMA'})",frozenset({'TminMA'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
54,"frozenset({'INFu_B', 'BROIu_B', 'RA', 'TmaxMA'})",frozenset({'TminMA'}),0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
57,"frozenset({'BROIu_B', 'RA', 'TmaxMA'})","frozenset({'INFu_B', 'TminMA'})",0.2222222222222222,0.4222222222222222,0.2222222222222222,1.0,2.3684210526315788,0.12839506172839504,inf
95,"frozenset({'BROIu_B', 'RA', 'COVIDuB'})","frozenset({'COVIDhB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
96,"frozenset({'BROIu_B', 'RA', 'COVIDhB'})","frozenset({'COVIDuB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
145,"frozenset({'INFu_B', 'BROIu_B', 'RA', 'COVIDuB'})","frozenset({'COVIDhB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
146,"frozenset({'INFu_B', 'BROIu_B', 'RA', 'COVIDhB'})","frozenset({'COVIDuB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
156,"frozenset({'BROIu_B', 'RA', 'COVIDuB'})","frozenset({'INFu_B', 'COVIDhB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
157,"frozenset({'BROIu_B', 'RA', 'COVIDhB'})","frozenset({'INFu_B', 'COVIDuB', 'TminMA'})",0.26666666666666666,0.3111111111111111,0.24444444444444444,0.9166666666666666,2.946428571428571,0.16148148148148148,8.266666666666662
2,"frozenset({'BROIu_B', 'RA', 'COVIDuB'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
8,"frozenset({'BROIu_B', 'COVIDhB', 'RA'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
30,"frozenset({'INFu_B', 'BROIu_B', 'RA', 'COVIDuB'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
33,"frozenset({'BROIu_B', 'RA', 'COVIDuB'})","frozenset({'INFu_B', 'TminMA'})",0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
42,"frozenset({'INFu_B', 'BROIu_B', 'RA', 'COVIDhB'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
45,"frozenset({'BROIu_B', 'RA', 'COVIDhB'})","frozenset({'INFu_B', 'TminMA'})",0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
94,"frozenset({'BROIu_B', 'RA', 'COVIDhB', 'COVIDuB'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
144,"frozenset({'INFu_B', 'RA', 'COVIDuB', 'BROIu_B', 'COVIDhB'})",frozenset({'TminMA'}),0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
150,"frozenset({'BROIu_B', 'RA', 'COVIDhB', 'COVIDuB'})","frozenset({'INFu_B', 'TminMA'})",0.26666666666666666,0.4222222222222222,0.24444444444444444,0.9166666666666666,2.1710526315789473,0.13185185185185183,6.93333333333333
27,"frozenset({'COVIDhB', 'TMA'})","frozenset({'COVIDuB', 'TmaxMA'})",0.3111111111111111,0.37777777777777777,0.26666666666666666,0.8571428571428571,2.26890756302521,0.1491358024691358,4.355555555555554
29,"frozenset({'COVIDuB', 'TMA'})","frozenset({'COVIDhB', 'TmaxMA'})",0.3111111111111111,0.37777777777777777,0.26666666666666666,0.8571428571428571,2.26890756302521,0.1491358024691358,4.355555555555554
80,"frozenset({'INFu_B', 'COVIDuB', 'TMA'})","frozenset({'COVIDhB', 'TmaxMA'})",0.3111111111111111,0.37777777777777777,0.26666666666666666,0.8571428571428571,2.26890756302521,0.1491358024691358,4.355555555555554
81,"frozenset({'INFu_B', 'COVIDhB', 'TMA'})","frozenset({'COVIDuB', 'TmaxMA'})",0.3111111111111111,0.37777777777777777,0.26666666666666666,0.8571428571428571,2.26890756302521,0.1491358024691358,4.355555555555554
